feature,decision_tree_importance,random_forest_importance,xgboost_importance,mean_importance
URL_Length,0.4809190384826222,0.43059787199862265,0.47915974,0.4635588843583367
Prefix/Suffix,0.13573010677792458,0.12569473859686608,0.20867218,0.15669900871553946
URL_Depth,0.17319216035427726,0.22913671557835857,0.04099393,0.14777426828064585
Have_At,0.04120584032732781,0.03362603788020039,0.0744717,0.049767858472931255
Web_Traffic,0.04524676916566255,0.029434276793902172,0.035733502,0.03680484943925429
iFrame,0.02487632910694559,0.025013431267286616,0.029385079,0.026424946357542962
Web_Forwards,0.014997143783426392,0.021499207472366604,0.03456725,0.023687867685761258
Domain_Age,0.0199666057888423,0.025790789609820192,0.011893961,0.019217118681982493
Domain_End,0.0185004106303527,0.020155275309853102,0.010843974,0.016499886515676892
TinyURL,0.013962300317333132,0.018807852355022102,0.01396999,0.015580047699055693
DNS_Record,0.009544890608750495,0.013968786544879725,0.015565746,0.013026474539155153
Redirection,0.007937840205642565,0.008952102875621825,0.015550487,0.010813476608238184
Have_IP,0.007303619936906634,0.007650879175015732,0.016671509,0.010542002554188764
Mouse_Over,0.005489477779729904,0.008877433845258648,0.012520951,0.008962620947963873
https_Domain,0.0011274667342559825,0.0007418030144877843,0.0,0.0006230899162479223
Right_Click,0.0,5.279768243774561e-05,0.0,1.7599227479248538e-05
